"Team","Founded","Division","Based_in","Championships"
"Buffalo Bandits","1991","North","Buffalo","4"
"Halifax Thunderbirds","2019","North","Halifax","0"
"Rochester Knighthawks","2019","North","Rochester","5"
"Toronto Rock","1998","North","Hamilton","6"
"Albany FireWolves","2021","East","Albany","0"
"Georgia Swarm","2004","East","Duluth","1"
"New York Riptide","2018","East","Uniondale","0"
"Philadelphia Wings","1986","East","Philadelphia","6"
"Calgary Roughnecks","2002","West","Calgary","3"
"Colorado Mammoth","2003","West","Denver","1"
"San Diego Seals","2017","West","San Diego","0"
"Saskatchewan Rush","2015","West","Saskatoon","2"
"Vancouver Warriors","2014","West","Vancouver","0"
"Panther City Lacrosse Club","2020","Expansion","Fort Worth","0"
